movie_id,title,budget,revenue,runtime,popularity,vote_average,vote_count,release_date,primary_genre,trailer_views,trailer_likes,trailer_comments,trailer_popularity_index,interaction_rate,engagement_velocity,release_month,youtube_sentiment,sentiment_volatility,trend_momentum,num_cast_members,avg_cast_popularity,max_cast_popularity,star_power_score,num_directors,avg_director_popularity,max_director_popularity,director_experience_score,num_composers,avg_composer_popularity,max_composer_popularity,music_prestige_score,wikipedia_worldwide_box_office,wikipedia_budget,overview,success_class,is_franchise,is_sequel,budget_tier,genre_avg_revenue,description_length,hype_score,budget_popularity_ratio,vote_power
840464,Greenland 2: Migration,90000000,20806332.0,98,393.0964,6.545,397,2026-01-07,Adventure,12041823,538081,97829,12.041823,0.0446843472122119,401394.1,1,0.165096,0.4555948826825544,1.8396946564885497,10.0,2.6832900000000004,11.1463,19.915399999999998,1.0,1.5395,1.5395,1.5395,1.0,0.5292,0.5292,0.5292,20806332.0,90000000,"Having found the safety of the Greenland bunker after the comet Clarke decimated the Earth, the Garrity family must now risk everything to embark on a perilous journey across the wasteland of Europe to find a new home.",Flop,1,0,2,714705083.7169812,38,776.82515,4.367737777777778,2598.365
1368166,The Housemaid,35000000,334411969.0,131,339.2702,7.197,1004,2025-12-18,Mystery,12010203,388553,84940,12.010203,0.032351909455652,400340.1,12,0.367524,0.4048251739369246,3.980916030534351,10.0,7.49452,37.2937,56.841499999999996,1.0,1.2454,1.2454,1.2454,1.0,0.3625,0.3625,0.3625,334411969.0,35000000,"Trying to escape her past, Millie Calloway accepts a job as a live-in housemaid for the wealthy Nina and Andrew Winchester. But what begins as a dream job quickly unravels into something far more dangerous—a sexy, seductive game of secrets, scandal, and power.",Hit,0,0,1,255588576.0,43,611.44009,9.693434285714286,7225.788
1168190,The Wrecking Crew,78500000,89000000.0,124,288.8296,6.848,523,2026-01-28,Action,6244859,210962,28924,6.244859,0.0337817074813058,208161.96666666667,1,0.28386,0.4190009824156813,1.3740458015267176,10.0,4.71819,12.3486,33.3013,1.0,1.1975,1.1975,1.1975,1.0,0.235,0.235,0.235,89000000.0,78500000,"Estranged half-brothers Jonny and James reunite after their father's mysterious death. As they search for the truth, buried secrets reveal a conspiracy threatening to tear their family apart.",Average,0,0,2,485598527.2126803,28,360.58247000000006,3.67935796178344,3581.504
1315303,Primate,21000000,36335958.0,89,256.9391,6.601,188,2026-01-01,Horror,12352202,342949,26057,12.352202,0.0277641994520491,411740.06666666665,1,0.08796,0.472794674768864,8.16793893129771,10.0,1.54777,3.174,7.7683,1.0,0.7806,0.7806,0.7806,1.0,1.3265,1.3265,1.3265,36335958.0,21000000,"Lucy, a college student, along with her friends, spend their vacation at her family's home in Hawaii, which includes her pet chimpanzee, Ben. However, when Ben contracts rabies after being bitten by a rabid animal, the group must fight for their lives in order to avoid the now-violent chimp.",Average,0,0,1,146676588.80815342,49,543.74075,12.23519523809524,1240.988
1084242,Zootopia 2,150000000,1802806721.0,108,229.0393,7.625,1625,2025-11-26,Animation,7248384,211924,31752,7.248384,0.029237413470368,241612.8,11,0.0,0.0,3.5229007633587788,10.0,3.2716000000000003,6.6067,15.3817,2.0,2.7579000000000002,3.1972,5.5158000000000005,1.0,1.062,1.062,1.062,1802806721.0,150000000,"After cracking the biggest case in Zootopia's history, rookie cops Judy Hopps and Nick Wilde find themselves on the twisting trail of a great mystery when Gary De'Snake arrives and turns the animal metropolis upside down. To crack the case, Judy and Nick must go undercover to unexpected new parts of town, where their growing partnership is tested like never before.",Hit,1,1,3,531942170.04615384,61,354.74463000000003,1.5269286666666666,12390.625
1419406,The Shadow's Edge,0,174400000.0,142,215.8734,7.219,421,2025-08-16,Action,1558661,68822,6255,1.558661,0.0441545660024854,51955.36666666667,8,0.425014,0.4344717515112167,2.2977099236641223,10.0,5.06409,23.7773,37.9264,1.0,1.3597,1.3597,1.3597,1.0,0.3586,0.3586,0.3586,174400000.0,0,Macau Police brings the tracking expert police officer out of retirement to help catch a dangerous group of professional thieves.,Unknown,0,0,0,485598527.2126803,20,149.59163,0.0,3039.199
1601243,Oscar Shaw,0,0.0,93,208.9421,6.333,18,2026-01-09,Action,7758260,342100,67717,7.75826,0.0440949388135999,258608.66666666663,1,0.1935279999999999,0.4400341151153011,1.8549618320610688,10.0,1.3242699999999998,4.963,9.0569,2.0,0.7958,0.9057,1.5916,2.0,0.1325,0.2436,0.265,0.0,0,"After retiring from the police force, a relentless detective haunted by the tragic loss of his closest friend sets out on a perilous quest for vengeance, seeking redemption and fighting to restore justice to the streets he once swore to protect.",Unknown,0,0,0,485598527.2126803,41,482.38323,0.0,113.994
1317288,Marty Supreme,65000000,148800000.0,150,158.089,7.7,628,2025-12-19,Drama,6733952,184686,27835,6.733952,0.0274260939192913,224465.06666666668,12,0.2099619999999999,0.4185740106648782,2.1297709923664123,10.0,3.13096,10.6174,20.4801,1.0,3.6012,3.6012,3.6012,1.0,0.7252,0.7252,0.7252,148800000.0,65000000,"Marty Mauser, a young man with a dream no one respects, goes to hell and back in pursuit of greatness.",Average,0,0,2,225615554.30780756,20,300.08022,2.432138461538462,4835.6
1242898,Predator: Badlands,105000000,184561056.0,107,151.2137,7.745,1868,2025-11-05,Action,839066,18289,6894,0.839066,0.021796855074571,27968.866666666665,11,0.228104,0.4793183339804518,2.267175572519084,10.0,3.22213,18.9629,24.6766,1.0,1.0394,1.0394,1.0394,2.0,0.7979499999999999,1.168,1.5958999999999999,184561056.0,105000000,"Cast out from his clan, a young Predator finds an unlikely ally in a damaged android and embarks on a treacherous journey in search of the ultimate adversary.",Average,1,0,3,485598527.2126803,28,73.91177,1.440130476190476,14467.66
1310568,Murder at the Embassy,0,0.0,90,145.2917,5.7,32,2025-11-14,Mystery,2970743,110563,27417,2.970743,0.0372172887388777,99024.76666666666,11,0.1000181818181818,0.4727558014282753,2.145038167938931,10.0,1.04344,2.8108,6.2303,1.0,0.7769,0.7769,0.7769,0.0,0.0,0.0,0.0,0.0,0,"1934. Private detective Miranda Green investigates a murder perpetrated in the British Embassy in Cairo, where a top secret document was stolen, risking to jeopardize both Buckingham Palace and the peace of the world. All those present in this closed place are suspected: the American photographer, the English student, the American actress, the Egyptian security guard, the ambassador interpreter, the Egyptian gardener and - why not? — the Ambassador himself. But who would have expected that a small group of Nazis would be behind a plot, risking to jeopardize both Buckingham Palace and the peace of the world?",Unknown,0,0,0,255588576.0,98,183.88994,0.0,182.4
